trade_date,nifty_price,gold_price,nifty_return,gold_return,nifty_vol_30d,nifty_rsi_14,high_vol_flag,gold_on_crash_days
2021-06-17,15691.400390625,41.349998474121094,-0.0048295020472909345,-0.017581413062107032,,,False,
2021-06-18,15683.349609375,40.959999084472656,-0.000513069646403852,-0.009431666361306323,,,False,
2021-06-21,15746.5,40.95000076293945,0.004026588209654625,-0.00024409965226279695,,,False,
2021-06-22,15772.75,40.93000030517578,0.0016670371193598932,-0.0004884116579009223,,,False,
2021-06-23,15686.9501953125,41.0,-0.005439749231269109,0.00171022952118971,,,False,
2021-06-24,15790.4501953125,40.900001525878906,0.006597840798329813,-0.002438987173685181,,,False,
2021-06-25,15860.349609375,40.95000076293945,0.0044266891189239654,0.0012224751881466656,,,False,
2021-06-28,15814.7001953125,40.81999969482422,-0.0028782098242977616,-0.0031746291988568043,,,False,
2021-06-29,15748.4501953125,40.72999954223633,-0.0041891404314852165,-0.002204805322409187,,,False,
2021-06-30,15721.5,40.52000045776367,-0.0017112919035373597,-0.005155882318508054,,,False,
2021-07-01,15680.0,40.90999984741211,-0.002639697229908089,0.009624861432441456,,,False,
2021-07-02,15722.2001953125,41.150001525878906,0.002691338986766656,0.005866577349351365,,,False,
2021-07-05,15834.349609375,41.20000076293945,0.007133188273225066,0.00121504824317209,,,False,
2021-07-06,15818.25,41.61000061035156,-0.0010167521731027085,0.009951452422809481,,53.23508701964718,False,
2021-07-07,15879.650390625,41.720001220703125,0.0038816171589777237,0.0026436099192028717,,62.242316163302014,False,
2021-07-08,15727.900390625,41.7400016784668,-0.0095562557277451,0.0004793973436834076,,52.44100807961903,False,
2021-07-09,15689.7998046875,41.58000183105469,-0.0024224839292732447,-0.003833249664066285,,46.80561928435221,False,
2021-07-12,15692.599609375,41.5,0.00017844744498685117,-0.0019240458761821122,,45.36192932528317,False,
2021-07-13,15812.349609375,41.52000045776367,0.007630985495128417,0.0004819387412933196,,56.98215759647915,False,
2021-07-14,15853.9501953125,41.63999938964844,0.0026308921169333477,0.0028901476532217085,,53.79739443051931,False,
2021-07-15,15924.2001953125,41.97999954223633,0.004431072328003882,0.008165229528615647,,53.81675958086454,False,
2021-07-16,15923.400390625,41.849998474121094,-5.0225736783704455e-05,-0.0030967381975418595,,56.86584858851294,False,
2021-07-19,15752.400390625,41.619998931884766,-0.010738912280361723,-0.005495807661224927,,50.22034878843576,False,
2021-07-20,15632.099609375,41.689998626708984,-0.0076369809214345,0.001681876420486672,,45.48346545575823,False,
2021-07-22,15824.0498046875,41.29999923706055,0.012279233123449584,-0.009354747001564578,,56.31713511175445,False,
2021-07-23,15856.0498046875,41.36000061035156,0.002022238326785386,0.0014528177820685162,,55.922805016118296,False,
2021-07-26,15824.4501953125,41.400001525878906,-0.0019929055322251976,0.0009671401096964516,,49.52833041903541,False,
